,,,,
above,trên,"prep, adv",,
accept,chấp nhận,v,,
accident,tai nạn,n,,
accompany, đi kèm,v,,
action,hành động,n,,
advertisement,quảng cáo,n,,
ads (short form),quảng cáo,n,,
Africa,châu phi,n,,
afterwards,sau đó,,,
again,lại,,,
against,chống lại,,,
agree,đồng ý,v,,
allergy ,dị ứng,n,,
almost,hầu như,,,
alright,được,,,
another,1 (cái) khác,,,
antibiotic,kháng sinh,n,,
apartment,căn hộ,n,,
appear,xuất hiện,v,,
appetizers,món khai vị,n,,
appointment,buổi hẹn (thường dành cho công việc),n,,
approach,tiếp cận,v,,
approximately,xấp xỉ,,,
assist,trợ giúp,v,,
avenue,đại lộ,n,,
,,,,
back,trở lại. Lưng,"v, n",,
backpack,ba lô,n,,
bad,"tệ, dở",adj,,
bank,ngân hàng,n,,
basket,rổ,n,,
basketball,bóng rổ,n,,
bath,tắm,"v, n",,
bathroom,phòng tắm,n,,
batteries,pin,n,,
beach,pin,n,,
bean,đậu,n,,
beard,râu,n,,
become,"trở nên, trở thành",v,,
bedroom,phòng ngủ,n,,
beef,thịt bò,n,,
before, trước,,,
begin, bắt đầu,v,,
belt, thắt lưng,n,,
beside,bênh cạnh,,,
bet,đánh cuộc,"v, n",,
better,tốt hơn,,,
between,giữa,,,
bicycle,xe đạp,n,,
bill, hóa đơn,n,,
bird,chim,n,,
bite,cắn,v,,
blanket,chăn,n,,
blind,mù,"adj, n",,
blood,mù,n,,
blouse,áo cánh,n,,
boat,thuyền,n,,
body,thân thể,n,,
borrow,mượn,v,,
bottle,chai,n,,
bowl,"bát, tô",n,,
bracelet,vòng tay,n,,
brain,óc,n,,
bread,bánh mì,n,,
breakfast,ăn sáng,n,,
breath,thở,v,,
bridge,cầu,n,,
bring,mang,v,,
broke,"làm vỡ, nghèo","v, adj",,
buddhist,phật tử,n,,
build,xây dựng,v,,
burn,đôt cháy,v,,
building,tòa nhà,n,,
busy,bận rộn,adj,,
butter,bơ,n,,
,,,,
,,,,
cabbage,cái bắp,n,,
calculator,máy tính bỏ túi,n,,
come,đi tới,v,,
cancer,ung thư,n,,
candle,nến,n,,
candy ,kẹo,n,,
card ,thẻ,n,,
care,sự quan tâm,"v, n",,
careful,cẩn thận,adj,,
carpet,thảm,n,,
capital,thủ đô,n,,
carry ,mang,v,,
cash,tiền mặt,n,,
cassette,cát xét,n,,
catch,bắt,v,,
center,trung tâm,n,,
cents,tiền xu,n,,
certainly,dĩ nhiên,,,
chair,ghế,n,,
chance,cơ hội,n,,
channel,kênh,n,,
character,tính tình,n,,
check,"phiếu tính tiền, phiếu nhà băng",n,,
choose,chọn,v,,
christian,thiên chúa giáo,n,,
clean,"sạch, lau chùi",v,,
climb,leo trèo,v,,
close,đóng,v,,
clothes,quần áo,n,,
cloudy,có mây,adj,,
coat,áo choàng,n,,
cold,lạnh,adj,,
college,"đại học, cao đẳng",n,,
comb,lược,n,,
comfort,"an nhàn, thoải mái","v, n",,
comfortable,"tiện nghi, thoải mái",adj,,
common,chung,"adj, n",,
complain,khiếu nại,"v, n",,
complete,đầy đủ,,,
complicated,phức tạp,adj,,
confirm,xác nhận,v,,
confused,bối rối,adj,,
consider,xem xét,v,,
container,thùng chứa,n,,
continent,lục địa,n,,
convenient,tiện lợi,adj,,
cook,"đầu bếp, nấu ăn","v, n",,
corn,bắp,n,,
cord,dây,n,,
correct,"đúng, sửa",v,,
cotton,bông,n,,
couch,"trường kỷ, ghế",n,,
cough,ho,v,,
count,đếm,v,,
country,đất nước,n,,
course,khóa học,n,,
cover,"che, bao bọc","v, n",,
cow,bò,n,,
co-worker,đồng nghiệp,n,,
crash,"đâm, đụng",v,,
create,tạo ra,v,,
crowd,đám đông,n,,
custom,phong tục,n,,
customer,khách hàng,n,,
cut,cắt,v,,
,,,,
,,,,
dance,"khiêu vũ, nhảy",v,,
dangerous,nguy hiểm,adj,,
dark,tối,adj,,
decide,quyết đinh,v,,
dead,chết,"adj, n",,
deep,sâu,adj,,
definitely,dứt khoát,,,
degree,"độ, bằng cấp",n,,
delete,xóa,v,,
delicous,ngon,adj,,
deliver,giao hàng,v,,
dentist,nha sĩ,n,,
dessert,món tráng miệng,n,,
detergent,xà bông giặt đồ,n,,
develop,phát triển,v,,
dictionary,từ điển,n,,
different,khác,adj,,
difficult,khó,adj,,
dinner,bữa tối,n,,
dirty,dơ,adj,,
disappoint,làm thất vọng,v,,
disappointed,thất vọng,adj,,
discount,giảm giá,"v, n",,
disturb,quấy rối,v,,
divide,chia,v,,
divorce,ly dị,v,,
dollar,đô la,n,,
done,đã làm,,,
down,xuống,,,
downstairs,dưới lầu,,,
downtown,phố,n,,
drag,"lôi, kéo",v,,
draw,vẽ,v,,
dream,mơ,"v, n",,
dress,"váy đầm, mặc","v, n",,
drink,"uống, uống rượu","v, n",,
drunk,say rươu,adj,,
dry,khô,v,,
dryer,máy xấy,n,,
duck,vịt,n,,
during,trong lúc,,,
,,,,
,,,,
,,,,
ear,tai,n,,
earlier,sớm hơn,,,
early,sớm hơn,,,
earrings,hoa tai,,,
east,phía đông,,,
easy,dễ,adj,,
eat,ăn,v,,
effort,nỗ lực,n,,
egg,trứng,n,,
electric,điện,n,,
elevator,thang máy,n,,
embarrassed,lúng túng,adj,,
embassy,đại sứ quán,n,,
employee,nhân viên,n,,
empty,trống rỗng,adj,,
enough,đủ,adj,,
enter,đi vào,v,,
entrance,lối vào,n,,
envelope,phong bì,n,,
equal,bằng,"adj, v, n",,
europe,châu âu,n,,
evening,buổi tối,n,,
every,mỗi,,,
everybody,mọi người,,,
everyday,mỗi ngày,,,
